packet widths for g0 input, tile:(0,0), range:[11,18], best:11
there were 5 zero samples
packet widths for g0 output, tile:(0,0), range:[4,18], best:16
packet widths for g0 input, tile:(1,0), range:[11,18], best:11
there were 5 zero samples
packet widths for g0 output, tile:(1,0), range:[4,18], best:16
packet widths for g0 input, tile:(2,0), range:[11,18], best:11
there were 5 zero samples
packet widths for g0 output, tile:(2,0), range:[4,18], best:16
packet widths for g0 input, tile:(0,1), range:[11,18], best:11
there were 5 zero samples
packet widths for g0 output, tile:(0,1), range:[4,18], best:15
packet widths for g0 input, tile:(1,1), range:[11,18], best:11
there were 5 zero samples
packet widths for g0 output, tile:(1,1), range:[4,18], best:15
packet widths for g0 input, tile:(2,1), range:[11,18], best:11
there were 5 zero samples
packet widths for g0 output, tile:(2,1), range:[4,18], best:15
packet widths for g1 input, tile:(0,0), range:[4,18], best:16
packet widths for g1 output, tile:(0,0), range:[3,18], best:4
packet widths for g1 input, tile:(1,0), range:[4,18], best:16
packet widths for g1 output, tile:(1,0), range:[3,18], best:4
packet widths for g1 input, tile:(2,0), range:[4,18], best:16
packet widths for g1 output, tile:(2,0), range:[3,18], best:4
packet widths for g1 input, tile:(0,1), range:[4,18], best:15
packet widths for g1 output, tile:(0,1), range:[3,18], best:15
packet widths for g1 input, tile:(1,1), range:[4,18], best:15
packet widths for g1 output, tile:(1,1), range:[3,18], best:15
packet widths for g1 input, tile:(2,1), range:[4,18], best:15
packet widths for g1 output, tile:(2,1), range:[3,18], best:15
packet widths for g2 input, tile:(0,0), range:[3,18], best:4
packet widths for g2 output, tile:(0,0), range:[2,18], best:4
packet widths for g2 input, tile:(1,0), range:[3,18], best:4
packet widths for g2 output, tile:(1,0), range:[2,18], best:2
packet widths for g2 input, tile:(2,0), range:[3,18], best:4
packet widths for g2 output, tile:(2,0), range:[2,18], best:2
packet widths for g2 input, tile:(0,1), range:[3,18], best:15
packet widths for g2 output, tile:(0,1), range:[2,18], best:15
packet widths for g2 input, tile:(1,1), range:[3,18], best:15
packet widths for g2 output, tile:(1,1), range:[2,18], best:15
packet widths for g2 input, tile:(2,1), range:[3,18], best:15
packet widths for g2 output, tile:(2,1), range:[2,18], best:15
packet widths for g3 input, tile:(0,0), range:[2,18], best:4
packet widths for g3 output, tile:(0,0), range:[3,18], best:4
packet widths for g3 input, tile:(1,0), range:[2,18], best:2
packet widths for g3 output, tile:(1,0), range:[3,18], best:4
packet widths for g3 input, tile:(2,0), range:[2,18], best:2
packet widths for g3 output, tile:(2,0), range:[3,18], best:4
packet widths for g3 input, tile:(0,1), range:[2,18], best:15
packet widths for g3 output, tile:(0,1), range:[3,18], best:15
packet widths for g3 input, tile:(1,1), range:[2,18], best:15
packet widths for g3 output, tile:(1,1), range:[3,18], best:15
packet widths for g3 input, tile:(2,1), range:[2,18], best:15
packet widths for g3 output, tile:(2,1), range:[3,18], best:15
packet widths for g4 input, tile:(0,0), range:[3,18], best:4
packet widths for g4 output, tile:(0,0), range:[2,18], best:2
packet widths for g4 input, tile:(1,0), range:[3,18], best:4
packet widths for g4 output, tile:(1,0), range:[2,18], best:2
packet widths for g4 input, tile:(2,0), range:[3,18], best:4
packet widths for g4 output, tile:(2,0), range:[2,18], best:2
packet widths for g4 input, tile:(0,1), range:[3,18], best:15
packet widths for g4 output, tile:(0,1), range:[2,18], best:12
packet widths for g4 input, tile:(1,1), range:[3,18], best:17
packet widths for g4 output, tile:(1,1), range:[2,18], best:12
packet widths for g4 input, tile:(2,1), range:[3,18], best:15
packet widths for g4 output, tile:(2,1), range:[2,18], best:18
packet widths for g5 input, tile:(0,0), range:[2,18], best:2
packet widths for g5 output, tile:(0,0), range:[2,18], best:2
packet widths for g5 input, tile:(1,0), range:[2,18], best:2
packet widths for g5 output, tile:(1,0), range:[2,18], best:2
packet widths for g5 input, tile:(2,0), range:[2,18], best:2
packet widths for g5 output, tile:(2,0), range:[2,18], best:2
packet widths for g5 input, tile:(0,1), range:[2,18], best:12
packet widths for g5 output, tile:(0,1), range:[2,18], best:12
packet widths for g5 input, tile:(1,1), range:[2,18], best:18
packet widths for g5 output, tile:(1,1), range:[2,18], best:12
packet widths for g5 input, tile:(2,1), range:[2,18], best:18
packet widths for g5 output, tile:(2,1), range:[2,18], best:18
packet widths for g6 input, tile:(0,0), range:[2,18], best:2
packet widths for g6 output, tile:(0,0), range:[2,18], best:2
packet widths for g6 input, tile:(1,0), range:[2,18], best:2
packet widths for g6 output, tile:(1,0), range:[2,18], best:2
packet widths for g6 input, tile:(2,0), range:[2,18], best:2
packet widths for g6 output, tile:(2,0), range:[2,18], best:2
packet widths for g6 input, tile:(0,1), range:[2,18], best:12
packet widths for g6 output, tile:(0,1), range:[2,18], best:12
packet widths for g6 input, tile:(1,1), range:[2,18], best:12
packet widths for g6 output, tile:(1,1), range:[2,18], best:12
packet widths for g6 input, tile:(2,1), range:[2,18], best:18
packet widths for g6 output, tile:(2,1), range:[2,18], best:18
packet widths for g7 input, tile:(0,0), range:[2,18], best:3
packet widths for g7 output, tile:(0,0), range:[2,18], best:2
packet widths for g7 input, tile:(1,0), range:[2,18], best:3
packet widths for g7 output, tile:(1,0), range:[2,18], best:2
packet widths for g7 input, tile:(2,0), range:[2,18], best:3
packet widths for g7 output, tile:(2,0), range:[2,18], best:2
packet widths for g7 input, tile:(0,1), range:[2,18], best:12
packet widths for g7 output, tile:(0,1), range:[2,18], best:18
packet widths for g7 input, tile:(1,1), range:[2,18], best:18
packet widths for g7 output, tile:(1,1), range:[2,18], best:18
packet widths for g7 input, tile:(2,1), range:[2,18], best:18
packet widths for g7 output, tile:(2,1), range:[2,18], best:18
packet widths for g8 input, tile:(0,0), range:[2,18], best:2
packet widths for g8 output, tile:(0,0), range:[1,18], best:2
packet widths for g8 input, tile:(1,0), range:[2,18], best:2
packet widths for g8 output, tile:(1,0), range:[1,18], best:2
packet widths for g8 input, tile:(2,0), range:[2,18], best:2
packet widths for g8 output, tile:(2,0), range:[1,18], best:2
packet widths for g8 input, tile:(0,1), range:[2,18], best:18
packet widths for g8 output, tile:(0,1), range:[1,18], best:18
packet widths for g8 input, tile:(1,1), range:[2,18], best:14
packet widths for g8 output, tile:(1,1), range:[1,18], best:18
packet widths for g8 input, tile:(2,1), range:[2,18], best:18
packet widths for g8 output, tile:(2,1), range:[1,18], best:18
packet widths for g9 input, tile:(0,0), range:[1,18], best:2
packet widths for g9 output, tile:(0,0), range:[2,18], best:2
packet widths for g9 input, tile:(1,0), range:[1,18], best:2
packet widths for g9 output, tile:(1,0), range:[2,18], best:2
packet widths for g9 input, tile:(2,0), range:[1,18], best:2
packet widths for g9 output, tile:(2,0), range:[2,18], best:2
packet widths for g9 input, tile:(0,1), range:[1,18], best:18
packet widths for g9 output, tile:(0,1), range:[2,18], best:18
packet widths for g9 input, tile:(1,1), range:[1,18], best:18
packet widths for g9 output, tile:(1,1), range:[2,18], best:18
